id,comment,label
872,Shut up.,1
470,Thanks for clarifying.,0
675,Embarrassing.,1
503,I can't stand you.,1
6,Nice design!,0
40,Well written!,0
555,This is absolute nonsense.,1
359,Thanks for sharing.,0
895,Dumb comment.,1
633,This is stupid.,1
288,I like this.,0
608,Stupidest thing I’ve seen.,1
737,"Ugh, shut your mouth.",1
791,You suck.,1
436,Very informative.,0
285,Appreciate this insight.,0
175,You are very kind.,0
760,Why are you even here?,1
11,Thanks for sharing.,0
897,This is garbage.,1
839,Get lost.,1
55,Positive vibes only.,0
990,Worst post ever.,1
150,I agree with your thoughts.,0
385,Well written!,0
864,Ignorant fool.,1
552,Nobody likes you.,1
771,Completely wrong.,1
655,Worst post ever.,1
788,You have no idea what you're saying.,1
969,"Ugh, shut your mouth.",1
907,This is stupid.,1
2,"Super helpful, thanks!",0
845,Worst advice ever.,1
878,Worst post ever.,1
505,Nobody likes you.,1
287,You are very kind.,0
210,You're so smart.,0
601,You're delusional.,1
539,Worst thing ever.,1
634,I can't stand you.,1
564,Disgusting.,1
654,This is stupid.,1
856,This is trash.,1
410,Nice design!,0
985,You're so annoying.,1
986,You sound like a moron.,1
637,Worst thing ever.,1
203,I agree with your thoughts.,0
677,Worst thing ever.,1
474,Clean and elegant code.,0
100,That's a great idea.,0
129,You made my day!,0
492,Well written!,0
825,I can't stand you.,1
289,You're brilliant.,0
219,Cool project!,0
886,Ignorant fool.,1
466,You made my day!,0
589,"Ugh, shut your mouth.",1
91,Cool project!,0
24,Looks great to me.,0
568,This is garbage.,1
151,I appreciate your help.,0
433,Nice explanation.,0
454,Wonderful explanation.,0
581,I can't stand you.,1
997,Shut up.,1
267,Cool project!,0
257,I like this.,0
8,I like this.,0
258,Excellent work!,0
260,I like this.,0
195,Thank you for your support.,0
262,Thanks for clarifying.,0
638,Worst post ever.,1
314,Very informative.,0
229,You are very kind.,0
508,Dumb comment.,1
772,I can't stand you.,1
851,Completely wrong.,1
753,Go away.,1
362,Thanks for clarifying.,0
44,Nice explanation.,0
758,You sound like a moron.,1
958,Terrible idea.,1
915,Ignorant fool.,1
546,Ignorant fool.,1
592,You're delusional.,1
245,Well written!,0
826,You have no idea what you're saying.,1
899,No one cares.,1
98,That's a great idea.,0
395,That's a great idea.,0
476,Well written!,0
661,Why are you even here?,1
461,Cool project!,0
643,That’s pathetic.,1
965,I can't stand you.,1
674,Nobody likes you.,1
882,Terrible idea.,1
820,Stupidest thing I’ve seen.,1
912,That’s pathetic.,1
890,Terrible idea.,1
685,Go away.,1
392,Positive vibes only.,0
805,Go away.,1
405,I appreciate your help.,0
988,You're so annoying.,1
197,Well written!,0
1000,Worst advice ever.,1
769,You suck.,1
602,You sound like a moron.,1
619,Worst thing ever.,1
926,You're an idiot.,1
762,Get lost.,1
594,This is garbage.,1
344,Good effort!,0
665,You suck.,1
435,Looks great to me.,0
824,Worst post ever.,1
334,Thanks for clarifying.,0
209,I like this.,0
488,Thanks again for this.,0
573,Why are you even here?,1
277,"Great job, well done!",0
810,So dumb.,1
227,Keep up the good work.,0
122,Nice design!,0
786,That’s pathetic.,1
177,Keep up the good work.,0
865,This is absolute nonsense.,1
983,That’s pathetic.,1
778,You're delusional.,1
629,This is trash.,1
808,This is stupid.,1
818,You suck.,1
561,Ignorant fool.,1
140,I agree with your thoughts.,0
779,That’s pathetic.,1
394,Clean and elegant code.,0
940,That’s pathetic.,1
416,You're so smart.,0
909,You sound like a moron.,1
397,I like this.,0
70,Clean and elegant code.,0
710,This is stupid.,1
343,Thanks for clarifying.,0
251,You're brilliant.,0
718,Nobody likes you.,1
480,Excellent work!,0
870,You're delusional.,1
691,This is garbage.,1
693,Stop posting nonsense.,1
76,Nice design!,0
513,Stop posting nonsense.,1
923,You have no idea what you're saying.,1
47,Appreciate this insight.,0
962,Ignorant fool.,1
526,No one cares.,1
571,Worst thing ever.,1
157,Positive vibes only.,0
482,That's very helpful.,0
980,Dumb comment.,1
201,You are very kind.,0
751,You're full of crap.,1
158,Amazing contribution.,0
928,You're useless.,1
228,That's very helpful.,0
246,That's a great idea.,0
520,You have no idea what you're saying.,1
952,This is trash.,1
840,Go away.,1
208,"Great job, well done!",0
481,Very informative.,0
557,Terrible idea.,1
484,Cool project!,0
617,You suck.,1
81,Thanks for sharing.,0
540,Stop posting nonsense.,1
347,Thank you for your support.,0
880,Worst post ever.,1
1,Excellent work!,0
28,You made my day!,0
896,You have no idea what you're saying.,1
184,Looks great to me.,0
50,Respect your opinion.,0
441,You're so smart.,0
667,You're delusional.,1
944,You suck.,1
556,Disgusting.,1
324,So wholesome!,0
765,You're so annoying.,1
906,Go away.,1
489,That's very helpful.,0
88,You're brilliant.,0
832,You're so annoying.,1
916,Terrible idea.,1
951,You're useless.,1
959,Garbage response.,1
92,You're doing amazing!,0
378,You're doing amazing!,0
970,I hate you.,1
419,"Great job, well done!",0
816,I can't stand you.,1
607,That’s pathetic.,1
775,You're delusional.,1
869,Embarrassing.,1
640,You're an idiot.,1
253,Very informative.,0
274,Respect your opinion.,0
780,Garbage response.,1
966,Stupidest thing I’ve seen.,1
833,Ignorant fool.,1
621,This is trash.,1
382,You are very kind.,0
61,Respect your opinion.,0
514,Stupidest thing I’ve seen.,1
468,That's very helpful.,0
